Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],latitude,longitude
A5H2PCSZ,2022-11-07T10:00:00.000Z,,31.06,67.86,,54.99,73.08,,140,,33.3,37.42,55,,71.32,74,,37.84,37.73,71,,5.42,5,5,,24.11,46.06,,,44.797027,20.528377
AY1R2WBZ,2022-11-07T10:00:00.000Z,,52.51,114.33,,91.78,121.41,,168,,84.07,105.66,92,,121.22,122.78,,104.61,106.76,121,,14.68,14,15,,20.42,54.98,,,43.0671684,22.4085712
A0VTV4M9,2022-11-07T10:00:00.000Z,,,,,,,,,,62.36,52.3,,,,,,89.47,53.09,,,,,,,,,,,44.010408,20.91121
A3QK8XR1,2022-11-07T10:00:00.000Z,,28.65,54.24,,49.14,58.08,,135,,39.05,43.22,49,,72.92,58.92,,57.76,43.8,73,,8.67,8,9,,21.83,51.61,,,44.010408,20.91121
AHVMMMWN,2022-11-07T10:00:00.000Z,,29.09,47.84,,50.91,51.14,,158,,120.8,124.71,51,,64.29,51.62,,157.73,126.17,64,,-3.22,,,,16.18,68.26,,,43.0671684,22.4085712
A2027ZB9,2022-11-07T10:00:00.000Z,,42.31,67.73,,83.35,73.05,,162,,65.68,49.8,83,,121.17,74.46,,91.51,50.7,121,,13.79,13,14,,13.69,82,,,44.797027,20.528377
A9YQLGCC,2022-11-07T10:00:00.000Z,,22.75,31.84,,40.83,34.17,,129,,47.9,42.32,41,,54.66,34.6,,64.26,42.78,55,,4.85,5,5,,14.94,71.29,,,42.5366089,20.2955676
AC8QFXSV,2022-11-07T10:00:00.000Z,,1.88,4.59,,4.85,4.8,,22,,7.52,6.56,5,,6.5,4.86,,10.57,6.64,6,,5.76,5,6,,12.07,72.35,,,43.27359823,20.00230503
AQVRLJYL,2022-11-07T10:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.45,6,6,,14.25,81.16,,,44.664514,20.928384
ABZ0QQ65,2022-11-07T10:00:00.000Z,,20.61,37.41,,35.04,39.86,,94,,32.25,35.66,35,,43.96,40.2,,38.87,35.96,44,,6.8,6,7,,25.73,40.22,,,44.664514,20.928384
